uid,study,longitude_study,latitude_study,pack_id,denning_date,denning_doy,denned,fall_tmax,summer_tmax_prev1,winter_tmax,fall_prcp,summer_prcp_prev1,winter_swe,tiNDVI_prev1,annual_pdo,annual_ao,sos_prev1,los_prev1,latitude_individual
71,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,42,2016-05-04,125,1,2,15,-3,330,510,48,12.69062519,1.634166667,0.629583333,131.7473145,16.53040791,63.39513
72,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,43,2014-05-08,128,1,2,16,-5,188,205,44,10.98704433,-0.5175,0.001,158.1362305,14.12060261,63.717828
73,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2004-05-17,138,1,0,14,-9,151,480,174,11.5745306,0.969166667,0.152083333,152.8966064,18.63911438,63.6264
74,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2008-05-08,129,1,0,15,-8,99,251,116,10.21758175,-0.195833333,0.26875,146.078125,14.85365677,63.62798872
75,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2009-04-29,119,1,-3,12,-9,112,347,80,9.51363945,-1.2925,0.176833333,155.9344482,14.04966593,63.62756963
76,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2011-04-06,96,1,1,14,-7,83,318,120,13.80439186,-0.3125,-1.04275,132.9836426,19.88356781,63.81384285
77,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2011-03-20,79,1,1,15,-8,91,316,124,13.57001543,-0.3125,-1.04275,132.2418213,19.90895271,63.81592534
78,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2012-05-14,135,1,1,14,-11,71,227,114,11.89647055,-1.230833333,0.525666667,138.8513184,18.15084362,63.63108
79,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2013-05-05,125,1,-4,15,-6,123,280,80,12.56420183,-1.1,-0.1815,141.0976563,17.30807018,63.80507018
80,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2014-05-03,123,1,3,17,-5,182,214,48,11.63605404,-0.5175,0.001,155.8037109,15.276824,63.80889911
81,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2015-05-06,126,1,0,15,-4,127,365,68,13.02468252,1.130833333,-0.066666667,117.5568848,20.00973415,63.87561
82,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,44,2016-03-12,72,1,0,16,-7,132,388,64,12.51504993,1.634166667,0.629583333,132.8996582,16.84449196,64.83106
83,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,45,2015-05-02,122,1,-2,15,-9,74,382,80,11.35257483,1.130833333,-0.066666667,146.5043945,16.57498837,65.04992
84,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2004-05-18,139,1,1,14,-9,211,513,250,10.89799309,0.969166667,0.152083333,153.116394,18.15785217,63.499228
85,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2005-05-15,135,1,0,18,-4,213,150,172,9.843179703,0.345,-0.192333333,141.9202881,14.6982584,63.499509
86,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2006-05-12,132,1,-1,16,-11,223,283,68,10.03743362,0.375,-0.37525,144.9036865,16.6463871,63.49955288
87,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2009-04-22,112,1,-4,11,-8,163,332,112,8.449971676,-1.2925,0.176833333,159.5362549,13.3521409,63.499751
88,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2010-05-01,121,1,0,12,-7,79,219,120,9.643234253,-0.6125,-0.330333333,146.5938721,16.64762497,63.49961524
89,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2011-05-20,140,1,0,12,-8,107,421,164,11.73861504,-0.3125,-1.04275,142.5925293,18.42648697,63.53729
90,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2012-04-24,115,1,0,12,-11,82,251,120,11.11862087,-1.230833333,0.525666667,141.0654297,17.95438576,63.53782
91,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2014-04-30,120,1,2,14,-4,222,272,52,9.686933041,-0.5175,0.001,158.9248047,13.69228268,63.59009
92,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2015-05-05,125,1,0,12,-3,119.5,399,92,9.639296532,1.130833333,-0.066666667,151.0253906,15.66315556,63.53738607
93,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,46,2016-05-18,139,1,2,14,-2,295,499,52,10.99856806,1.634166667,0.629583333,136.9599609,15.35294771,63.538699
94,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,47,2007-05-14,134,1,3,16,-10,96,347,120,11.30400658,0.190833333,0.13775,141.8137207,17.22458267,63.23558866
95,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,47,2008-05-09,130,1,0,17,-8,196,273,238,13.71414566,-0.195833333,0.26875,117.1516113,20.05543518,63.21453
96,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,48,2007-04-04,94,1,3,20,-11,64,316,60,12.59002113,0.190833333,0.13775,131.6970215,19.07174683,63.8080536
97,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,48,2013-03-20,79,1,-2,19,-9,124,237,92,14.46241283,-1.1,-0.1815,120.7744141,21.4958992,63.645816
98,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,48,2015-04-14,104,1,0,18,-7,57,301,68,14.07053089,1.130833333,-0.066666667,117.2819824,21.41187477,63.81474495
99,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,49,2011-05-03,123,1,0,19,-7,129,298,92,14.35770893,-0.3125,-1.04275,117.6147461,21.75299263,63.77410072
